country,year,total_ratings
Afrique du Sud,2007,95
Afrique du Sud,2010,246
Afrique du Sud,2012,370
Afrique du Sud,2013,20
Afrique du Sud,2014,357
Afrique du Sud,2015,724
Afrique du Sud,2016,868
Afrique du Sud,2017,368
Afrique du Sud,2018,1608
Afrique du Sud,2019,645
Afrique du Sud,2020,319
Afrique du Sud,2021,16
Allemagne,2012,1
Allemagne,2015,7
Allemagne,2016,2
Allemagne,2017,107
Allemagne,2018,303
Allemagne,2019,81
Allemagne,2020,285
Allemagne,2021,88
Argentine,2014,1043
Argentine,2015,2218
Argentine,2016,139
Argentine,2017,276
Argentine,2018,5003
Argentine,2019,7525
Argentine,2020,747
Australie,2015,769
Australie,2016,1480
Australie,2017,405
Australie,2018,1136
Australie,2020,14
Chili,2009,1037
Chili,2012,244
Chili,2013,1144
Chili,2014,3423
Chili,2015,152
Chili,2016,2743
Chili,2017,1913
Chili,2018,1624
Chili,2019,1065
Chili,2020,735
Croatie,2011,234
Espagne,1910,72
Espagne,1929,81
Espagne,1937,12
Espagne,1955,131
Espagne,1964,3
Espagne,1965,301
Espagne,1968,60
Espagne,1970,12
Espagne,1998,1
Espagne,2004,302
Espagne,2005,622
Espagne,2007,160
Espagne,2009,113
Espagne,2010,907
Espagne,2011,1063
Espagne,2012,979
Espagne,2013,469
Espagne,2014,1449
Espagne,2015,3083
Espagne,2016,8018
Espagne,2017,10530
Espagne,2018,12265
Espagne,2019,1563
Espagne,2020,3913
Espagne,2021,296
Espagne,N.V.,2627
France,1934,0
France,1948,1
France,1949,3
France,1960,26
France,1962,66
France,1967,330
France,1972,1
France,1974,350
France,1976,14
France,1977,134
France,1979,883
France,1982,1491
France,1983,756
France,1986,1288
France,1987,1
France,1988,64
France,1989,247
France,1990,3461
France,1991,302
France,1992,449
France,1993,776
France,1995,465
France,1996,1925
France,1997,2910
France,1998,5442
France,1999,6720
France,2000,10877
France,2001,3992
France,2002,11421
France,2003,2723
France,2004,21852
France,2005,8335
France,2006,30611
France,2007,8412
France,2008,15939
France,2009,21025
France,2010,8463
France,2011,11758
France,2012,20710
France,2013,5808
France,2014,11023
France,2015,12162
France,2016,10382
France,2017,8342
France,2018,8986
France,2019,4339
France,2020,826
France,2021,2
France,N.V.,138968
Grèce,2019,62
Grèce,2020,12
Hongrie,1988,4
Hongrie,2000,435
Hongrie,2011,0
Hongrie,2013,704
Hongrie,2014,226
Hongrie,2015,226
Hongrie,2016,358
Hongrie,2017,1057
Israël,2021,1
Italie,1955,35
Italie,1958,35
Italie,1959,37
Italie,1960,18
Italie,1961,52
Italie,1967,8
Italie,1970,24
Italie,1973,1
Italie,1974,24
Italie,1976,41
Italie,1978,101
Italie,1979,123
Italie,1980,105
Italie,1981,13
Italie,1982,789
Italie,1983,404
Italie,1984,14
Italie,1985,381
Italie,1986,45
Italie,1987,88
Italie,1988,1525
Italie,1989,687
Italie,1990,443
Italie,1991,273
Italie,1992,631
Italie,1993,363
Italie,1994,1450
Italie,1995,2094
Italie,1996,975
Italie,1997,7095
Italie,1998,6937
Italie,1999,6041
Italie,2000,5642
Italie,2001,6799
Italie,2002,2800
Italie,2003,3961
Italie,2004,12483
Italie,2005,12991
Italie,2006,9513
Italie,2007,21068
Italie,2008,13044
Italie,2009,19882
Italie,2010,22011
Italie,2011,28769
Italie,2012,34665
Italie,2013,37338
Italie,2014,11078
Italie,2015,42341
Italie,2016,45128
Italie,2017,54908
Italie,2018,19596
Italie,2019,18100
Italie,2020,4706
Italie,2021,782
Italie,2022,31
Italie,N.V.,9453
Moldavie,2016,2031
Moldavie,2017,2030
Moldavie,2019,111
Moldavie,2020,22
Portugal,1968,202
Portugal,1970,28
Portugal,1975,302
Portugal,1978,8
Portugal,2000,145
Portugal,2001,52
Portugal,2003,121
Portugal,2007,56
Portugal,2011,92
Portugal,2015,4
Portugal,2016,365
Portugal,2017,675
Portugal,2018,136
Portugal,2019,1733
Portugal,2020,69
Portugal,2021,17
Portugal,N.V.,1527
Roumanie,2018,31
Suisse,2011,162
Suisse,2021,0
États-Unis,1996,8
États-Unis,1997,299
États-Unis,1998,104
États-Unis,1999,440
États-Unis,2000,12
États-Unis,2001,46
États-Unis,2002,21
États-Unis,2003,42
États-Unis,2004,36
États-Unis,2005,109
États-Unis,2006,135
États-Unis,2007,123
États-Unis,2008,125
États-Unis,2009,163
États-Unis,2010,62
États-Unis,2012,7587
États-Unis,2013,8910
États-Unis,2014,626
États-Unis,2015,5452
États-Unis,2016,3537
États-Unis,2017,11307
États-Unis,2018,20227
États-Unis,2019,25089
États-Unis,2020,1068
États-Unis,N.V.,16804
